id,emp1,emp2,type
2485,Law Offices of Ellen Lake,Law Offices of Ellen Lake,NULL
2486,Law Offices of Gary M. Sirbu,Law Offices of Gary M. Sirbu,NULL
2487,Law Offices of Gary M. Sirbu,Law Offices of Gary Sirbu,NULL
2488,Law offices of H. Paul Bryant,Law offices of H. Paul Bryant,
2489,Law Offices of Heather Tremain,Law Offices of Heather Tremain,
2490,Law Offices of Jeffery Kirk Rubenstein,Law Offices of Jeffery Kirk Rubenstein,
2491,Law Offices of Joanne Casey,Law Offices of Joanne Casey,
2492,Law Offices of John Burris,Law Offices of John Burris,
2493,Law Offices of John E. Gutierrez,Law Offices of John E. Gutierrez,
2494,Law Offices of John Hill,Law Offices of John Hill,
2495,Law Offices of Karen Friedman,Law Offices of Karen Friedman,
2496,Law Offices of Marc Terbeek,Law Offices of Marc Terbeek,
2497,Law Offices of Markus A. Agbulos,Law Offices of Markus A. Agbulos,
2498,Law Offices of Paul Garrison,Law Offices of Paul Garrison,NULL
2499,Law Offices of Paul Rein,Law Offices of Paul Rein,
2500,Law Offices of Rena Rickles,Law Offices of Rena Rickles,
2501,Law Offices of Robert B. Gray,Law Offices of Robert B. Gray,NULL
2502,Law Offices of Robert G Schock,Law Offices of Robert G Schock,NULL
2503,Law Offices of Stuart Flashman,Law Offices of Stuart Flashman,NULL
2504,Law Offices of Tamor & Tamor,Law Offices of Tamor & Tamor,NULL
2505,"Lawles Enterprises, Inc.","Lawles Enterprises, Inc.",
2506,Lawrence Berkeley National Laboratory,Lawrence Berkeley Labs,
2507,Lawrence Berkeley National Laboratory,Lawrence Berkeley National Laboratory,NULL
2508,Lawrence Berkeley National Laboratory,Lawrence Berkeley National Lab,NULL
2509,Lawrence Berkeley National Laboratory,LBNL,
2510,Lawrence Livermore National Laboratory,Lawrence Livermore,NULL
2511,Lawrence Livermore National Laboratory,Lawrence Livermore Lab,
2512,Lawrence Livermore National Laboratory,Lawrence Livermore National Lab,
2513,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,
2514,"Lawrence Ng, M.D.","Lawrence Ng, M.D.",NULL
2515,Lawson Law Offices,Lawson Law Offices,NULL
2516,LAZ Parking,LAZ,
2517,LAZ Parking,LAZ Parking,
2518,"Lazear Mack, Attorneys at Law","Lazear Mack, Attorneys at Law",NULL
2519,Lead Qual LLC,Lead Qual LLC,
2520,Leader Counsel,Leader Counsel,NULL
2521,Leadership for a Clean Economy,Leadership for a Clean Economy,
2522,LEADERSHIP FOR EDUCATIONAL EQUITY,LEADERSHIP FOR EDUCATIONAL EQUITY,
2523,Leadership Public Schools,Leadership Public Schools,NULL
2524,Leadership Public Schools,LEADERSHIP PUBLIC SCHOOLS,
2525,LEADERSHIP PUBLIC SCHOOLS - RICHMOND,LEADERSHIP PUBLIC SCHOOLS - RICHMOND,
2526,LeaderSpring,LEADERSPRING,
2527,LeaderSpring,LeaderSpring,
2528,League of Conservation Voters of the East Bay,LEAGUE OF CONSERVATION VOTERS OF THE EAST BAY,
2529,League of Conservation Voters of the East Bay,League of Conservation Voters of the East Bay,
2530,Leap Frog Properties,Leap Frog Properties,
2531,Leap Frog Properties,LeapFrog Enterprises,NULL
2532,Leap Frog Properties,Leapfrog Properties,
2533,LEARNING WITHOUT LIMITS,LEARNING WITHOUT LIMITS,
2534,LearnStreet,LearnStreet,NULL
2535,Lee-Conwright & Hartley LLP,Lee-Conwright & Hartley LLP,
2536,Lee's Trade DBA Lee's Jewelry,Lee's Trade DBA Lee's Jewelry,
2537,Legal Aid Foundation of Los Angeles,Legal Aid Foundation of Los Angeles,
2538,Legal Aid Society,Legal Aid Society,
2539,Legal Beagle,Legal Beagle,
2540,Legal Service for Prisoners with Children,Legal Service for Prisoners with Children,
2541,Leinton Properties,Leinton Properties,
2542,Leland,Leland,NULL
2543,Len Raphael CPA,Len Raphael CPA,NULL
2544,Leon Richmond,Leon Richmond,NULL
2545,Leonard Carder,Leonard Carder,
2546,Leons Powder Coating,Leons Powder Coating,NULL
2547,Les Concierges,Les Concierges,NULL
2548,Letser Schwab,Letser Schwab,NULL
2549,Lew Edwards Group,Lew Edwards Group,
2550,"Lewis Katz, Esquire","Lewis Katz, Esquire",NULL
2551,Lexus,Lexus,NULL
2552,Liane Zimny Consutling,Liane Zimny Consutling,
2553,LIBBY SCHAAF FOR COUNCIL 2010,LIBBY SCHAAF FOR COUNCIL 2010,
2554,LIBERTIES,LIBERTIES,
2555,Libitzky Property Companies,Libitzky Holdings,
2556,Libitzky Property Companies,"Libitzky Holdings, L.P.",
2557,Libitzky Property Companies,Libitzky Management Company,
2558,Libitzky Property Companies,Libitzky Property Companies,NULL
2559,"Life Launcher, Inc.","Life Launcher, Inc.",
2560,Life Technologies,Life Technologies,NULL
2561,Lifelong Medical Care,Lifelong Medical Care,NULL
2562,Lifetech Consultants  Inc.,"Liftech Consultants, Inc.",NULL
2563,Lifetech Consultants  Inc.,Lifetech Consultants  Inc.,NULL
2564,Lifetech Consultants  Inc.,Liftech Consultants,
2565,"Lift Up Oakland - Yes on Measure FF - for better wages, healthy families and a healthy economy sponsored by labor and community organizations","Lift Up Oakland - Yes on Measure FF - for better wages, healthy families and a healthy economy sponsored by labor and community organizations",
2566,"Lift Up Oakland - Yes on Measure FF - for better wages, healthy families and a healthy economy sponsored by labor and community organizations","Lift Up Oakland for better wages, healthy families and a healthy economy sponsored by labor and community organizations",
2567,"Lift Up Oakland - Yes on Measure FF - for better wages, healthy families and a healthy economy sponsored by labor and community organizations",Lift Up Oakland for better wages  healthy families and a healthy community sponosred by labor and community organizations,
2568,Liftech Consultants Inc.,Liftech Consultants Inc.,
2569,Lighthouse Community Charter School,Lighthouse Community Charter School,NULL
2570,LightSail Energy,LightSail Energy,
2571,"Lili Xu, DDS a Prof. Corp","Lili Xu, DDS a Prof. Corp",
2572,Lilly USA,Lilly USA,NULL
2573,Lily Hu & Associates,Lily Hu & Associates,NULL
2574,Lily of the Valley Church,Lily of the Valley Church,
2575,Lima Investment & Financial,Lima Investment,NULL
2576,Lima Investment & Financial,Lima Investment & Financial,NULL
2577,"Limitless Construction, Inc.","Limitless Construction, Inc.",
2578,Lincoln Child Center,Lincoln Child Center,
2579,Linda Pearson,Linda Pearson,
2580,LinkedIn,Linked In,NULL
2581,LinkedIn,LinkedIn,
2582,Lippman & Associates,Lippman & Associates,
2583,Lise Pearlman Attorney at Law,Lise Pearlman Attorney at Law,
2584,"List, Estuar, Harrison & Kitson LLP","List, Estuar, Harrison & Kitson LLP",NULL
2585,Litigation Cost Management,Litigation Cost Management,NULL
2586,Litton Fuller Group,Litton Fuller Group,
2587,Litton/Fuller Group,Litton/Fuller Group,
2588,Liu-Johnston Design,Liu-Johnston Design,
2589,Live Nation,Live Nation,
2590,Living Cities,Living Cities,
2591,Liylo,Liylo,
2592,"LLoyd A. Wise, Co.",Lloyd A. Wise Co.,
2593,"LLoyd A. Wise, Co.",LLoyd A. Wise Incorporated,NULL
2594,"LLoyd A. Wise, Co.","LLoyd A. Wise, Co.",
2595,Lloyd J Calder  DDS,Lloyd J Calder  DDS,
2596,"Lloyd Wise, Inc","Lloyd Wise, Inc",
2597,LMC,LMC,NULL
2598,LoanLove Capital,LoanLove Capital,
2599,Local 21,Local 21,Union
2600,Local 39,Local 39,Union
2601,Local Government,Local Government,
2602,"Local Union No. 340, IBEW PAC","Local Union No. 340, IBEW PAC",Union
2603,Lockheed Martin,Lockheed Martin,NULL
2604,Lofting and Jennings,Lofting and Jennings,NULL
2605,Loh Realty and Investments,Loh Realty and Investments,NULL
2606,Loh Realty and Investments,Loh Realty,NULL
2607,Longshore,Longshore,NULL
2608,Loreal,Loreal,
2609,Los Angeles City Attorney,Los Angeles City Attorney,
2610,Los Angeles County,Los Angeles County,NULL
2611,Los Angeles County Probation,Los Angeles County Probation,NULL
2612,Los Angeles Unified School District,Los Angeles Unified School District,NULL
2613,Los Medanos College,Los Medanos College,
2614,Los Mexicanos Market,Los Mexicanos Market,
2615,Los Positas College,Los Positas College,
2616,Lotus Bloom,Lotus Bloom,
2617,Louis J Goodman Attorney at Law,Louis J Goodman Attorney at Law,NULL
2618,Love Never Fails,Love Never Fails,
2619,Lowenberg Corporation,Lowenberg Corporation,
2620,Lowney Architects Inc.,Lowney Architects,
2621,Lowney Architects Inc.,Lowney Architects Inc.,
2622,"Lowney Architects, Inc.","Lowney Architects, Inc.",NULL
2623,Loyola Law School,Loyola Law School,
2624,Loyola Marymount Univ,Loyola Marymount Univ,
2625,Lozeau Drury LLP,Lozeau Drury LLP,NULL
2626,"LSH Investments, Inc","LSH Investments, Inc",NULL
2627,Lucien & Co,Lucien & Co,NULL
2628,Lucrum Builders,Lucrum Builders,
2629,Luka's LLC,Luka's,
2630,Luka's LLC,Luka's LLC,
2631,Lumedx,Lumedx,
2632,Luminare,Luminare,NULL
2633,Lutsko Associates,Lutsko Associates,
2634,Luxor Cab,Luxor Cab,
2635,LX Executive Transportation,LX Executive Transportation,
2636,LYFT,LYFT,
2637,"Lyle B. Oehler, Consultant","Lyle B. Oehler, Consultant",
2638,Lynette Lee,Lynette Lee,NULL
2639,Lynn Epstein,Lynn Epstein,
2640,M.J.Davis & Company,M.J.Davis & Company,
2641,M&A Painting,M&A Painting,
2642,M2,M2,
2643,Ma,Ma,
2644,Ma Belle Salon,Ma Belle Salon,NULL
2645,Ma Properties,Ma Properties,
2646,Macarthur Motel,Macarthur Motel,
2647,MacFarlane Partners,MacFarlane Partners,NULL
2648,Mach 1 Development Corp.,Mach 1 Development Corp.,
2649,MACH Energy,MACH Energy,
2650,Machaon Diagnostics,Machaon Diagnostics,NULL
2651,"Mack Jacob, DDS","Mack Jacob, DDS",NULL
2652,Mackay Building & Consulting,Mackay Building & Consulting,NULL
2653,MacKay Professional Services,MacKay Professional Services,
2654,MacKenzie Capital Management,MacKenzie Capital Management,
2655,Macy's,Macy's,
2656,Madison Marquette Property Investments,Madison Marquette Property Investments,
2657,Madison Park Financial Corp,Madison Park Financial Corp,NULL
2658,Madison Park Financial Corp,madison park financial corporation,NULL
2659,Madison Park Financial Corp,Madison Park Financial,NULL
2660,Madrone Capital,Madrone Capital,NULL
2661,Magic Popcorn Film Production,Magic Popcorn Film Production,
2662,Magner Family Partnership,Magner Family Partnership,
2663,Magner Limited Partnership,Magner Limited Partnership,
2664,Magnolia Wellness,Magnolia Wellness,
2665,Maine Women's Fund,Maine Women's Fund,
2666,Mainsail Partners,Mainsail Partners,NULL
2667,Maiya Holliday Web Development,Maiya Holliday Web Development,NULL
2668,Major Commercial Cleaning,Major Commercial Cleaning,
2669,Mallison & Martinez,Mallison & Martinez,
2670,Management Recruiters of Berkeley,Management Recruiters of Berkeley,NULL
2671,Manager,Manager,NULL
2672,"Manatt, Phelps and Phillips",Manatt Phelps & Phillips,NULL
2673,"Manatt, Phelps and Phillips","Manatt, Phelps and Phillips",NULL
2674,Mandela Marketplace,Mandela Marketplace,
2675,Manos Home Care,Manos Home Care,
2676,Manos Home Care,MANOS HOME CARE,
2677,"Mar Con, Co.",Mar Con Co,
2678,"Mar Con, Co.","Mar Con, Co.",NULL
2679,Marcia Henry,Marcia Henry,
2680,Marcus & Millichap,Marcus & Millichap,
2681,Marcus Allen Consulting,Marcus Allen Consulting,
2682,Marcus Realty,Marcus Realty,NULL
2683,Marin City Community Services District,Marin City Community Services District,
2684,Marin County,Marin County,
2685,Marin County DA,Marin County DA,NULL
2686,Marin County Office of Education,Marin County Office of Education,
2687,Marin General Hospital,Marin General Hospital,
2688,MARINE CLERKS ILWU LOCAL 63- PAC,MARINE CLERKS ILWU LOCAL 63- PAC,Union
2689,Marion's Inn LLP,Marion's Inn LLP,
2690,"Mark Borsuk, Inc.",Mark Borsuk Inc,
2691,"Mark Borsuk, Inc.",Mark Borsuk  Inc.,NULL
2692,"Mark Borsuk, Inc.",Mark Borsuk Inc.,NULL
2693,"Mark Borsuk, Inc.","Mark Borsuk, Inc.",
2694,"Mark Borsuk, Inc.","Mark Borusk, Inc",
2695,Mark Hoover Training,Mark Hoover Training,
2696,Mark Leno for Senate 2012,Mark Leno for Senate 2012,
2697,Mark Moss & Associates,Mark Moss & Associates,
2698,"Markenkev Properties, LP","Markenkev Properties, LP",
2699,"Marlo A. Seligman, CFP","Marlo A. Seligman, CFP",
2700,Marr & Associates,Marr & Associates,
2701,Marshall Lamm Public Relations,Marshall Lamm Public Relations,NULL
2702,Martin & Associates,Martin & Associates,
2703,Martin Luther King Jr. Civic Council,Martin Luther King Jr. Civic Council,NULL
2704,Martinez Real Estate Inv.,Martinez Real Estate Inv.,
2705,"Martinkovic Milford, Inc","Martinkovic Milford, Inc",
2706,Maruti Corporation,Maruti Corporation,NULL
2707,Marvin L. Tate CPA,Marvin L. Tate CPA,NULL
2708,Mary Denman,Mary Denman,NULL
2709,Marz Consulting,Marz Consulting,
2710,Mason McDuffie,Mason McDuffie,NULL
2711,"Mason Tillman Associates, LTD.","Mason Tillman Associates, LTD.",
2712,Mass Mutual,Mass Mutual,
2713,Massachusetts Institute of Technology,Massachusetts Institute of Technology,
2714,Massachusetts Nurses Association,Massachusetts Nurses Association,Union
2715,MASTERY DESIGN COLLABORATIVE,MASTERY DESIGN COLLABORATIVE,
2716,Matchbook Labs,Matchbook Labs,
2717,Mathmatica Policy Research,Mathmatica Policy Research,
2718,Matrix CG,Matrix CG,
2719,Matrix Consulting Group,Matrix Consulting Group,
2720,"Matson Navigation Company, Inc.",Matson,NULL
2721,"Matson Navigation Company, Inc.","Matson Navigation Company, Inc.",NULL
2722,Maven ventures,Maven ventures,
2723,"Max Allstadt, Builder",Max Allstadt Builder,
2724,"Max Allstadt, Builder","Max Allstadt, Builder",
2725,Max Armour,Max Armour,
2726,Maya Motel,Maya Motel,
2727,Mayatec,Mayatec,
2728,mb-m USA,mb-m USA,
2729,"MB, Inc","MB, Inc",
2730,MBD Partners,MBD Partners,
2731,MBH Architects,MBH Architects,
2732,MC Taylor Associates,MC Taylor Associates,
2733,"McCarthy Building Companies, Inc.","McCarthy Building Companies, Inc.",
2734,McCarthy Ranch,McCarthy Ranch,NULL
2735,McConnell Group,McConnell Group,
2736,McCoy Wade Consulting,McCoy Wade Consulting,
2737,MCG Architecture,MCG Architecture,
2738,McGrath Properties,McGrath Properties,NULL
2739,McGraw Medical Center,McGraw Medical Center,
2740,"McGuffin Hall Properties, LLC",McGuffin Hall Properties,NULL
2741,"McGuffin Hall Properties, LLC","McGuffin Hall Properties, LLC",NULL
2742,McHopland Properties LLC,McHopland Properties LLC,
2743,McKeany Flavell,McKeany Flavell,NULL
2744,McKenna Long & Aldridge LLP,McKenna Long & Aldridge LLP,
2745,McKesson,McKesson,NULL
2746,McKinley,McKinley,
2747,"McKinney Griff, Inc.","McKinney Griff, Inc.",
2748,McKinsey,McKinsey,NULL
2749,MCM Corporation,MCM Corp,NULL
2750,MCM Corporation,MCM Corporation,NULL
2751,McMullen Boutique,McMullen Boutique,NULL
2752,McNellis Partners,McNellis Partners,NULL
2753,McWane Corp,McWane Corp,
2754,Mdc Vacuum Products,Mdc Vacuum Products,
2755,mdotm,mdotm,
2756,Mechanics Bank,Mechanics Bank,NULL
2757,MedeAnalytics,MedeAnalytics,
2758,Medhanie Ogbe,Medhanie Ogbe,NULL
2759,media services director,media services director,
2760,Media Talent 2.0 Inc,Media Talent 2.0 Inc,
2761,Medical Anesthesia Consultants,Medical Anesthesia Consultants,NULL
2762,"Medivation Field Solutions, Inc.","Medivation Field Solutions, Inc.",
2763,Megavents Productions,Megavents PR & Events,NULL
2764,Megavents Productions,Megavents Productions,
2765,Mei Jaye & Associates,Mei Jaye & Associates,
2766,Mei Wo Florist,Mei Wo Florist,NULL
2767,Melba Lake Apts,Melba Lake Apts,
2768,Member of Transport Oakland,Member of Transport Oakland,
2769,Men of Valor Academy,Men of Valor Academy,
2770,"Menlo Capital Group, LLC","Menlo Capital Group, LLC",
2771,Mental Health Advocates,Mental Health Advocates,NULL
2772,Meran Technology,Meran Technology,NULL
2773,Mercy Health System,Mercy Health System,
2774,"Meridian Energy USA, Inc.","Meridian Energy USA, Inc.",NULL
2775,Merl Dean Johnson  Contractor,Merl Dean Johnson  Contractor,NULL
2776,Merrill Lynch,Merrill Lynch,NULL
2777,Merritt Restaurant & Bakery,Merritt Bakery,
2778,Merritt Restaurant & Bakery,Merritt Restaurant & Bakery,
2779,Merriwether & Williams Insurance Services,Merriwether & Williams Insurance,NULL
2780,Merriwether & Williams Insurance Services,Merriwether & Williams,NULL
2781,Merriwether & Williams Insurance Services,Merriwether & Williams Insurance Services,
2782,METCON,METCON,
2783,Metric Stream,Metric Stream,
2784,Metro Bay,Metro Bay,
2785,Metro Government of Nashville and Davidson County,Metro Government of Nashville and Davidson County,
2786,Metropolitan Bank,Metopolitan Bank,
2787,Metropolitan Bank,Metropolitan Bank,
2788,Metropolitan Transportation Commission,Metropolitan Transportation Com,
2789,Metropolitan Transportation Commission,Metropolitan Transportation Commission,
2790,Metrovation,Metrovation,NULL
2791,Metrovation Brokerage,Metrovation Brokerage,
2792,Meyers Nave,Meyers Nave,NULL
2793,"MGI Consulting, Inc.","MGI Consulting, Inc.",
2794,Michael Barbour,Michael Barbour,
2795,Michael Berger Property Mgmt,Michael Berger Property Mgmt,
2796,Michael De Castro,Michael De Castro,
2797,Michael Ferro,Michael Ferro,
2798,"Michael Hebrard MD, PC","Michael Hebrard MD, PC",NULL
2799,Michael James Real Estate,"Michael James Company, Inc.",
2800,Michael James Real Estate,Michael James Real Estate,
2801,Michael Lauer,Michael Lauer,
2802,Michael Lenoir MD,Michael Lenoir MD,NULL
2803,"Michael P. Melland, CPA","Michael p Melland, CPA",
2804,"Michael P. Melland, CPA","Michael P. Melland, CPA",NULL
2805,Michael Schmier,Michael Schmier,
2806,Michael Stars,Michael Stars,
2807,Michael Tigges,Michael Tigges,NULL
2808,"Michelman & Robinson, LLP","Michelman & Robinson, LLP",NULL
2809,"Michelman & Robinson, LLP",Michelman & Robinson,NULL
2810,Michigan Chandelier Co,Michigan Chandelier Co,
2811,Midpeninsula Regional Open Space District,Midpeninsula Regional Open Space District,
2812,Mike Gronyson,Mike Gronyson,NULL
2813,Miles Ahead Consultant Services,Miles Ahead Consultant Services,NULL
2814,Milestone Properties,Milestone Properties,
2815,Mills College,Mills College,NULL
2816,Mills College,MILLS COLLEGE,
2817,"Milo Group of Calif., Inc.","Milo Group of Calif., Inc.",NULL
2818,Milpitas Optometric Group,Milpitas Optometric Group,
2819,Mindfulness Therapy,Mindfulness Therapy,
2820,Mintz Consulting,Mintz Consulting,NULL
2821,Miracles of Faith Community Church,Miracles of Faith Community Church,NULL
2822,Missio Dei Oakland,Missio Dei Oakland,
2823,Mission Bay Development Group,Mission Bay Development Group,
2824,Mission Hope Program,Mission Hope Program,
2825,Mitchell Hotel,Mitchell Hotel,
2826,Mitchell Silberberg & Knupp,Mitchell Silberberg & Knupp,
2827,"MLA Law, LLP","MLA Law, LLP",
2828,MLK Freedom Center,MLK Freedom Center,NULL
2829,"MN - 1540 Milvia - Gil Properties / JD Management Group, Inc.","MN - 1540 Milvia - Gil Properties / JD Management Group, Inc.",
2830,"MN - 2523 Ridge Road - Treehaven / JD Management Group, Inc.","MN - 2523 Ridge Road - Treehaven / JD Management Group, Inc.",
2831,"MN - 2901 Claremont - Shane / JD Management Group, Inc.","MN - 2901 Claremont - Shane / JD Management Group, Inc.",
2832,"MN - 2912 Claremont - Leo Davis Realty / JD Management Group, Inc.","MN - 2912 Claremont - Leo Davis Realty / JD Management Group, Inc.",
2833,Mo Betta Cuts,Mo Betta Cuts,NULL
2834,Mobile Connectory LLC,Mobile Connectory LLC,NULL
2835,Modern Express Courier,Modern Express Courier,
2836,Modern Media,Modern Media,NULL
2837,Moffatt & Nichol Engineers,Moffatt & Nichol Engineers,
2838,Moll Lawrence Legal Services,Moll Lawrence Legal Services,
2839,Monroe & Son Trucking,Monroe & Son Trucking,
2840,Monroe Brooks Trucking,Monroe Brooks Trucking,
2841,Monroe Trucking Broker,Monroe Trucking Broker,
2842,"Montclair Acquisition Fund, LL","Montclair Acquisition Fund, LL",
2843,Montclair Egg Shop,Montclair Egg Shop,
2844,Montclair Golf Club,Montclair Golf Club,
2845,Montclair Land Surveying,Montclair Land Surveying,
2846,Montclair Sports,Montclair Sports,
2847,Montclair Venture Partners,Montclair Venture Partners,
2848,Montclair Village Association,Montclair Village Association,
2849,Montebello Unified School District,Montebello Unified School District,
2850,Montez Group,Montez Group,
2851,Moonstar Florist,Moonstar Florist,
2852,Morgan Media Group,Morgan Media Group,NULL
2853,Morgan Stanley,Morgan Stanley,NULL
2854,"Morgan, Lewis & Bockius LLP","Morgan, Lewis & Bockius",
2855,"Morgan, Lewis & Bockius LLP","Morgan, Lewis & Bockius LLP",
2856,Morrisey Compton Education Center,Morrisey Compton Education Center,
2857,Morrison & Foerster LLP,Morrison & Foerster,
2858,Morrison & Foerster LLP,Morrison & Foeberger,NULL
2859,Morrison & Foerster LLP,Morrison & Foerster LLP,NULL
2860,Morrison & Foerster LLP,Morrison Foerster,NULL
2861,Morrison & Foerster LLP,"Morrison & Foerster, Tokyo office",
2862,Morrison & Foerster LLP,Morrison and Forester,
2863,Morrison Foereste,Morrison Foereste,
2864,Morse Management,Morse Management,
2865,Mortar Data,Mortar Data,
2866,Moss Adams LLP,Moss Adams LLP,
2867,Mosswood LLC,Mosswood LLC,
2868,"Moulin Investments, LLC","Moulin Investments, LLC",
2869,Mountain Valley Consultants,Mountain Valley Consultants,
2870,Mountain View Adult Education,Mountain View Adult Education,
2871,Movement Strategy Center,Movement Strategy Center,
2872,Moving Forward Education,Moving Forward Education,NULL
2873,Mowat Mackie & Anderson LLP,Mowat Mackie & Anderson LLP,
2874,"Mowat, Mackie and Anderson","Mowat, Mackie and Anderson",NULL
2875,Moyer Realty Company,Moyer Realty Company,
2876,MPHS,MPHS,
2877,Mr Sparkle,Mr Sparkle,NULL
2878,"Mr. Roofing, Inc.","Mr. Roofing, Inc.",
2879,Mrs. Munchies,Mrs. Munchies,NULL
2880,MSquared consulting,MSquared consulting,
2881,MT Technology,MT Technology,
2882,MTC,MTC,
2883,Mujeres Unidas y Activas,Mujeres Unidas y Activas,
2884,Mumm Napa Valley,Mumm Napa Valley,NULL
2885,"Munger, Tolles & Olson LLP","Munger, Tolles & Olson",
2886,"Munger, Tolles & Olson LLP","Munger, Tolles & Olson LLP",
2887,"Murphy, Vu, Thongsamouth & Chatterjee, LLP","Murphy, Vu, Thongsamouth & Chatterjee, LLP",
2888,Musical Cafe,Musical Cafe,
2889,MVLA Union High School,MVLA Union High School,
2890,MW Events,MW Events,
2891,My Own Montessori,My Own Montessori,NULL
2892,Myrna Medina,Myrna Medina,
2893,Myron Zimmerman Investments,Myron Zimmerman Investments,
2894,N/A,"""""",NULL
2895,N/A,N/A,NULL
2896,N/A,n/a,NULL
2897,N/A,NA,NULL
2898,N/A,None,NULL
2899,N/A,N.A.,NULL
2900,N/A,N / A,NULL
2901,NAA,NAA,
2902,NAI Northern California,NAI Northern California,
2903,NAIBT Commercial,NAIBT Commercial,
2904,"Najdawi Investments, Inc","Najdawi Investments, Inc",
2905,"Nakamura Realty, Inc.","Nakamura Realty, Inc.",NULL
2906,Nam-To Corporation,Nam-to Corporation,
2907,Nam-To Corporation,Nam-To Corporation,
2908,"Nancy M. Fiedman, M.A.","Nancy M. Fiedman, M.A.",
2909,"Nanomix, Inc.","Nanomix, Inc.",
2910,Naropa University,Naropa University,
2911,NASA Ames Research Center,NASA Ames Research Center,
2912,NASDAQ,NASDAQ,NULL
2913,Nate Miley for Supervisor,Nate Miley for Supervisor,
2914,National Association Of Home Builders,National Association Of Home Builders,
2915,National Capacd,National Capacd,
2916,National CineMedia Corp,National CineMedia Corp,
2917,National Council on Youth Leadership,National Council on Youth Leadership,
2918,National Data Corporation,National Data Corporation,
2919,"National Dispute Resolution Service, LLC","National Dispute Resolution Service, LLC",NULL
2920,National Guestworker Alliance,National Guestworker Alliance,
2921,National Park Service,National Park Service,
2922,National Parks Conservation Association,National Parks Conservation Association,NULL
2923,National Union of Healthcare Workers,National Union of Healthcare Workers,Union
2924,National Union of Healthcare Workers,National Union Of Healthcare Workers,Union
2925,National Union of Healthcare Workers Candidate Committee for Quality Patient Care and Union Democracy,National Union of Healthcare Workers Candidate Committee for Quality Patient Care and Union Democracy,Union
2926,"National Women's Political Caucus, Alameda North",National Women's Political Caucus Alameda North,
2927,"National Women's Political Caucus, Alameda North","National Women's Political Caucus, Alameda North",
2928,National Writing Project,National Writing Project,
2929,Nationwide Insurance,Nationwide Insurance,
2930,Natural Resources Defense Council,NRDC,NULL
2931,Natural Resources Defense Council,Natural Resources Defense Council,NULL
2932,NatureBridge,NatureBridge,NULL
2933,Navigant,Navigant,
2934,Navigant Consulting,Navigant Consulting,
2935,Navis,Navis,
2936,NBC Universal,NBC Universal,
2937,NCCD,NCCD,
2938,NCM LLC,NCM LLC,
2939,NCPHS,NCPHS,
2940,NCWEDD,NCWEDD,
2941,NDSU,NDSU,
2942,Neal & Associates,Neal & Associates,
2943,Neeham & Co.,Neeham & Co.,NULL
2944,Neeta Takhar,Neeta Takhar,
2945,Neighbors for a Safer Oakland 2014,Neighbors for a Safer Oakland 2014,
2946,Nektar Therapeutics,Nektar Therapeutics,
2947,Nella Law Group,Nella Law Group,NULL
2948,Nelson Hardiman,Nelson Hardiman,
2949,Nelson/Nygaard,Nelson/Nygaard,
2950,Nelsonygaard,Nelsonygaard,
2951,Neophotonics Corporation,Neophotonics Corporation,NULL
2952,Nestle Dreyers Ice Cream,Nestle Dreyers Ice Cream,
2953,Nestle Dreyers Ice Cream,Nestles USA  Dryers Ice Cream Division,NULL
2954,Netflix,Netflix,NULL
2955,Netscout Systems Inc.,Netscout Systems Inc.,
2956,NetSuite,NetSuite,NULL
2957,"netVigilance, Inc.","netVigilance, Inc.",
2958,"Network Building and Consulting, LLC","Network Building and Consulting, LLC",NULL
2959,Neural ID,Neural ID,NULL
2960,New Bridge Management,New Bridge Management,
2961,New City Market,New City Market,
2962,New Jersey Medical School,New Jersey Medical School,
2963,New Karibbean City,New Karibbean City,
2964,NEW LEADERS,NEW LEADERS,
2965,New Life OGIC,New Life OGIC,
2966,New Media Firm,New Media Firm,
2967,New Star Realty & Inv.,New Star Realty & Inv.,
2968,New York City Council,New York City Council,
2969,New York Life,New York Life,NULL
2970,Newark Citizens for Measure Y 2014,Newark Citizens for Measure Y 2014,
2971,Newcomb Anderson McCormick,Newcomb Anderson McCormick,NULL
2972,Newmark Cornish and Carey,Newark Cornish,
2973,Newmark Cornish and Carey,Newmark Cornish and Carey,
2974,Newport Board Group,Newport Board Group,NULL
2975,"Newport CH International, LLC",Newport CH International  LLC,
2976,"Newport CH International, LLC","Newport CH International, LLC",
2977,"Newport CH International, LLC",Newport CH Intl LLC,
2978,NewSchools Venture Fund,NEW SCHOOLS VENTURE FUND,
2979,NewSchools Venture Fund,NEWSCHOOLS VENTURE FUND,
2980,NewSchools Venture Fund,NewSchools Venture Fund,NULL
2981,NewSchools Venture Fund,New Schools Venture,NULL
2982,Next Generation,Next Generation,
2983,Next Steps Marketing,Next Steps Marketing,
2984,"Nextdoor.com, Inc.","Nextdoor.com, Inc.",NULL
2985,NGP Van,NGP Van,
2986,NH Consultants,NH Consultants,NULL
2987,"Nimble Storage, Inc.","Nimble Storage, Inc.",
2988,nina senn for oakland school board 2014,nina senn for oakland school board 2014,
2989,NINA SENN FOR OAKLAND SCHOOL BOARD 2014,NINA SENN FOR OAKLAND SCHOOL BOARD 2014,
2990,"Nino's Hardwood Floors, Inc.","Nino's Hardwood Floors, Inc.",
2991,NLRB Region 32,NLRB Region 32,
